source_pool	source_reference	source_sequences	generated_sequences	feature	source_min	source_mean	source_sd_population	source_q01	source_q05	source_median	source_q95	source_q99	source_max	generated_min	generated_mean	generated_sd_population	generated_q01	generated_q05	generated_median	generated_q95	generated_q99	generated_max	generated_within_source_minmax_fraction	generated_within_source_q01_q99_fraction	generated_minus_source_standardized_mean_difference	two_sample_ks_statistic	two_sample_ks_p_value_descriptive_only	wasserstein_distance_source_units	p5_standardized_coefficient	p5_active_feature
GCfix	full_training_pool	11994	64646	base_freq_A	0.12962962963	0.25000771990933474	0.03416483478801045	0.175925925926	0.194444444444	0.25	0.305555555556	0.324074074074	0.37962962963	0.1111111111111111	0.24976825354265567	0.034734349385488375	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.3888888888888889	0.9995823407480742	0.9551712402932896	-0.006950973053304501	0.11035733193144237	9.097530847651901e-108	0.0005459282577872819	0.00012597633189350346	True
GCfix	full_training_pool	11994	64646	base_freq_C	0.12037037037	0.25024626510786685	0.03421736415904603	0.166666666667	0.194444444444	0.25	0.305555555556	0.324074074074	0.388888888889	0.1111111111111111	0.25006946664512486	0.03465885639532289	0.17592592592592593	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.4074074074074074	0.9999535934164527	0.9660458497045448	-0.005133697213518342	0.11353477840303072	4.693197319297003e-114	0.0006657140328988327	0.00010302855523368962	True
GCfix	full_training_pool	11994	64646	base_freq_G	0.111111111111	0.24975373489213315	0.03421736415904603	0.175925925926	0.194444444444	0.25	0.305555555556	0.333333333333	0.37962962963	0.1111111111111111	0.2501211727459291	0.03468745819901247	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.3888888888888889	0.9999845311388176	0.9678402376017078	0.010664835649452788	0.10935818588377189	7.920023183716078e-106	0.0006026159606944489	-0.00010302856724856828	True
GCfix	full_training_pool	11994	64646	base_freq_T	0.12037037037	0.24999228009066526	0.03416483478801045	0.175925925926	0.194444444444	0.25	0.305555555556	0.324074074074	0.37037037037	0.1111111111111111	0.2500411070662904	0.03475527072398015	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.39814814814814814	0.999474058719797	0.9553723354886613	0.00141686329659041	0.10529587773395621	3.9993334803779866e-98	0.00042853187378511675	-0.0001259763962802674	True
GCfix	full_training_pool	11994	64646	full_amplicon_candidate_pairs	70.0	106.9558112389528	15.011086392632077	80.0	86.0	105.0	134.0	151.0	198.0	68.0	109.24258268106303	15.357701099196037	81.0	88.0	107.0	137.0	153.0	259.0	0.9997834359434459	0.9823964359743835	0.1505903065937226	0.06304568716413805	2.1103557274601093e-35	2.286926130722034	0.011837652009047808	True
GCfix	full_training_pool	11994	64646	full_amplicon_longest_stem	13.0	13.321744205436051	0.650379829712329	13.0	13.0	13.0	15.0	16.0	19.0	13.0	13.327197351730966	0.65935894988722	13.0	13.0	13.0	15.0	16.0	22.0	0.9999226556940878	0.9965349750951334	0.008326878970571404	0.0031581781052330005	0.999956400637164	0.005453146294914113	0.007825966309374537	True
GCfix	full_training_pool	11994	64646	full_amplicon_weighted_pairs	445.0	626.8553443388361	93.96768574808797	487.0	512.0	608.0	802.0	942.0699999999997	1422.0	437.0	637.3452495127309	96.05575544866794	493.0	521.0	619.0	815.0	954.5500000000029	2205.0	0.9997679670822635	0.9825665934473904	0.11039976809120164	0.055434040174910104	1.8350450132691424e-27	10.490492990619702	-0.017729124605331728	True
GCfix	full_training_pool	11994	64646	gc_deviation_from_0p5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022658873798155434	0.014444466819215105	0.0	0.0	0.018518518518518545	0.04629629629629628	0.04629629629629628	0.04629629629629628	0.11105095442873496	0.11105095442873496	2.2184610227927424	0.888949045571265	0.0	0.02265887379815543	0.0	False
GCfix	full_training_pool	11994	64646	left_boundary_vs_left_adapter_complement_4mers	0.0	1.4107053526763382	1.468724172450498	0.0	0.0	1.0	4.0	6.0	12.0	0.0	1.4662778826222813	1.497494456748471	0.0	0.0	1.0	4.0	6.0	16.0	0.9999845311388176	0.9928069795501655	0.03746852342153135	0.01771956371816863	0.003440627294123861	0.055751341417493716	-0.0009447219628274082	True
GCfix	full_training_pool	11994	64646	left_boundary_vs_left_adapter_max_rc_tract	2.0	3.9426379856594966	0.9244666374688926	2.0	3.0	4.0	6.0	7.0	9.0	2.0	3.974136064102961	0.919532293584134	3.0	3.0	4.0	6.0	7.0	15.0	0.9998453113881756	0.9969216966246945	0.03416267237921565	0.01771956371816863	0.003440627294123861	0.03261146501021234	-0.0007219191594837149	True
