dataset	analysis	pool_or_direction	endpoint	model	repeat	fold	feature	standardized_coefficient	selected_regularization
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	4	candidate_pairs	-0.02104596710467004	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	4	gc_deviation_from_0p5	-0.020772603891049377	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	4	longest_stem	-0.003866222200778083	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	2	4	max_homopolymer	0.0031040861094055426	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	0	candidate_pairs	-0.021580647795181127	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	0	gc_deviation_from_0p5	-0.020773184086994776	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	0	longest_stem	0.0019784579714366714	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	0	max_homopolymer	0.00656185138438951	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	1	candidate_pairs	-0.022054375510870233	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	1	gc_deviation_from_0p5	-0.02066831103898705	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	1	longest_stem	0.0008883710975851386	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	1	max_homopolymer	0.004962864972598991	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	2	candidate_pairs	-0.020383132204362907	1000.0
