dataset	evaluation	pool_or_direction	endpoint	model	retention_fraction	achieved_retention_fraction	selected_n	n_sequences	pool_mean_outcome	selected_mean_outcome	outcome_gain_vs_pool	standardized_gain_vs_pool	outcome_gain_ci_2p5	outcome_gain_ci_97p5	pool_adverse_event_rate	pool_adverse_events	selected_adverse_event_rate	selected_adverse_events	selected_to_pool_event_rate_ratio	event_rate_change_vs_pool	event_change_ci_2p5	event_change_ci_97p5	finite_pool_penalty_bits_per_sequence	finite_pool_penalty_bits_per_nt	rate_boundary
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0.5	0.5	6000	12000	-0.014602149380416667	-0.0010618169293333333	0.013540332451083334	0.05754125106589928	0.009502976509325004	0.01800467594273535	0.0009166666666666666	11	0.001	6	1.090909090909091	8.333333333333337e-05	-0.00041722609806066823	0.0006413618027542076	1.0	0.009259259259259259	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	day7_vs_day0_log2fc_plus1	F0_frozen_low_proxy	0.5	0.5	6000	12000	-0.014602149380416667	-0.002312269810333333	0.012289879570083335	0.05222730301982001	0.008280953646488825	0.01652668088313571	0.0009166666666666666	11	0.0015	9	1.6363636363636365	0.0005833333333333334	8.348755973658256e-05	0.0011293041378544202	1.0	0.009259259259259259	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D0_composition	0.1	0.1	1200	12000	6.304272344755834	6.314517351436667	0.010245006680833058	0.017461493001174246	-0.020377275996166167	0.039356335869185854	0.0023333333333333335	28	0.0008333333333333334	1	0.35714285714285715	-0.0015	-0.002916666666666667	0.0005461024821198637	3.321928094887362	0.03075859347117928	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D1_structural_rules	0.1	0.1	1200	12000	6.304272344755834	6.302198681458334	-0.002073663297499806	-0.0035343322151099336	-0.03382778511362709	0.0298584534843357	0.0023333333333333335	28	0.0025	3	1.0714285714285714	0.00016666666666666653	-0.002078565940206762	0.0031376633081277956	3.321928094887362	0.03075859347117928	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	0.1	0.1	1200	12000	6.304272344755834	6.304942776628333	0.0006704318724990443	0.0011426777760240845	-0.03329095112697811	0.03207884523393452	0.0023333333333333335	28	0.0025	3	1.0714285714285714	0.00016666666666666653	-0.002069333980647219	0.0031575817573959533	3.321928094887362	0.03075859347117928	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	F0_frozen_low_proxy	0.1	0.1	1200	12000	6.304272344755834	6.336500772875834	0.03222842811999982	0.05492982968074203	0.0026086582515345348	0.061793376147664135	0.0023333333333333335	28	0.0016666666666666668	2	0.7142857142857143	-0.0006666666666666668	-0.0025833333333333333	0.0018338772577996688	3.321928094887362	0.03075859347117928	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D0_composition	0.25	0.25	3000	12000	6.304272344755834	6.307191970442667	0.0029196256868333492	0.004976182552625103	-0.015737144275820646	0.023145901190216266	0.0023333333333333335	28	0.0036666666666666666	11	1.5714285714285712	0.001333333333333333	-0.0003387542842333165	0.0032634710037615154	2.0	0.018518518518518517	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D1_structural_rules	0.25	0.25	3000	12000	6.304272344755834	6.314855047592667	0.01058270283683349	0.018037059152395684	-0.007715371231303191	0.028741299732677705	0.0023333333333333335	28	0.003	9	1.2857142857142856	0.0006666666666666665	-0.0008856137754852761	0.002356780022105787	2.0	0.018518518518518517	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	0.25	0.25	3000	12000	6.304272344755834	6.312085022083	0.007812677327166284	0.013315853734285111	-0.011165002282470748	0.02675663934204827	0.0023333333333333335	28	0.0033333333333333335	10	1.4285714285714286	0.001	-0.0006479427323701983	0.002744457269565064	2.0	0.018518518518518517	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	F0_frozen_low_proxy	0.25	0.25	3000	12000	6.304272344755834	6.317623804921	0.013351460165166529	0.022756103094171427	-0.005016508857333335	0.032252562677252745	0.0023333333333333335	28	0.0026666666666666666	8	1.1428571428571428	0.00033333333333333305	-0.0010979201537111851	0.0019768160026209826	2.0	0.018518518518518517	finite observed-pool retention cost; not full-language capacity
