dataset	evaluation	pool_or_direction	endpoint	comparison	baseline_model	extended_model	retention_fraction	delta_selected_mean	delta_selected_mean_ci_2p5	delta_selected_mean_ci_97p5	delta_selected_event_rate	delta_event_rate_ci_2p5	delta_event_rate_ci_97p5	n_sequences	bootstrap_unit
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	calibration_vs_frozen_proxy	F0_frozen_low_proxy	P5_combined_context	0.25	0.0029623680700864297	0.0026193256197781928	0.0033221390512291555	-0.02267422474158053	-0.028899823649988745	-0.016852155458370068	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_amplicon_replacement_sensitivity	P3_assay_calibrated	P6_full_amplicon_replacement	0.25	0.0002839322293284319	0.00015861244160534916	0.00041240184967227255	-0.0013337779259753246	-0.0036170863244149422	0.0008932656614062503	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_structural_context_increment	P3_assay_calibrated	P4_full_structural_context	0.25	0.00017265344970751606	4.653840347911831e-05	0.0003073015765608588	-0.0003334444814938305	-0.002727496836636284	0.0019977739432604853	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_weighted_increment	P4_full_structural_context	P5_combined_context	0.25	0.00040545095302602085	0.000297196875146305	0.0005268897759547307	-0.0016672224074691568	-0.0037563189400077746	0.000273017598345123	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	variable_structure_vs_composition	P0_composition	P1_variable_structure	0.25	0.0003476674957216819	0.00012059924239645747	0.0005815114860241554	-0.00033344448149383137	-0.004134703344594984	0.003257446658811186	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	weighted_increment	P2_assay_context	P3_assay_calibrated	0.25	1.7466714703706643e-05	-7.23494329557539e-07	3.537411871752937e-05	0.0	-2.4599603252622266e-05	2.6038817502074384e-05	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	assay_context_increment	P1_variable_structure	P2_assay_context	0.5	0.00065402842214346	0.0005124081729003249	0.0008130814819543474	-0.007503751875937969	-0.010444744803559506	-0.004751531000076045	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	calibration_vs_frozen_proxy	F0_frozen_low_proxy	P5_combined_context	0.5	0.002110530647065789	0.001883186593649891	0.0023488027863410865	-0.01817575454393864	-0.02221788401891196	-0.014170340229876658	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_amplicon_replacement_sensitivity	P3_assay_calibrated	P6_full_amplicon_replacement	0.5	0.00012582817530004675	3.799493289307066e-05	0.00021446375051893392	-0.0010005002501250627	-0.002707755057988388	0.0005404550909424978	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_structural_context_increment	P3_assay_calibrated	P4_full_structural_context	0.5	0.00018617158699774095	0.0001103242826884454	0.0002671799333332003	-0.001834250458562615	-0.003343804572094366	-0.00035494720751192874	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	full_weighted_increment	P4_full_structural_context	P5_combined_context	0.5	0.00015824134917408195	9.361835267903684e-05	0.00023002847051180607	-0.0003335000833750209	-0.0016133307262898764	0.0008682606833985135	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	variable_structure_vs_composition	P0_composition	P1_variable_structure	0.5	0.00030486966140896854	0.00016446562380030837	0.00044618773990380827	-0.0016675004168751045	-0.003891109305877835	0.0006348015576459096	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	repeated_nested_oof	GCfix	relative_efficiency	weighted_increment	P2_assay_context	P3_assay_calibrated	0.5	-1.5486043780654768e-08	-1.642919565736367e-05	1.1507541872712853e-05	0.00016675004168751045	-9.127502343556473e-06	0.0005119187801019751	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	source_only_transfer	GCall_to_GCfix	relative_efficiency	assay_context_increment	P1_variable_structure	P2_assay_context	0.1	0.000400842667591661	2.4546419598692192e-05	0.0007899900443762486	-0.004999999999999999	-0.010647480289451568	0.0004467699262496328	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	source_only_transfer	GCall_to_GCfix	relative_efficiency	calibration_vs_frozen_proxy	F0_frozen_low_proxy	P5_combined_context	0.1	0.0036415755553645957	0.003140268388167494	0.00415917661062288	-0.026666666666666665	-0.036151767513326924	-0.01713969937358594	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	source_only_transfer	GCall_to_GCfix	relative_efficiency	full_amplicon_replacement_sensitivity	P3_assay_calibrated	P6_full_amplicon_replacement	0.1	0.0005752652732549102	0.0003468821225429353	0.0008113284344954894	-0.0016666666666666668	-0.005156365668515179	0.001586203926848859	11994	sequence; conditional on frozen OOF or transfer predictions
Gimpel2025_PCR	source_only_transfer	GCall_to_GCfix	relative_efficiency	full_structural_context_increment	P3_assay_calibrated	P4_full_structural_context	0.1	0.00034778955954051227	0.00010228294842967722	0.000599381675159305	0.0	-0.0047443471483588524	0.00449671193442954	11994	sequence; conditional on frozen OOF or transfer predictions
