dataset	analysis	pool_or_direction	endpoint	model	feature	median_standardized_coefficient	coefficient_q25	coefficient_q75	negative_fits	positive_fits	n_fits	sign_boundary
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	variable_candidate_pairs	0.0002215400485551108	0.0002142991798174118	0.0002455290238964826	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	variable_longest_stem	8.67362396881354e-06	-3.250283654693436e-05	2.5180804109870086e-05	11	14	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P3_assay_calibrated	variable_weighted_pairs	0.00013635777148739703	0.00011172819269533434	0.00016036709486931574	2	23	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	base_freq_A	-0.00025541258829880805	-0.00026685265726441817	-0.0002470218617243688	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	base_freq_C	0.00041995545634356885	0.00039883185614454766	0.00043164031355733044	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	base_freq_G	0.00025478561036022037	0.00023753923462924715	0.0002690702873402087	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	base_freq_T	-0.00040379997938549684	-0.00043574969521164685	-0.00039061752676611944	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	full_amplicon_candidate_pairs	-0.0018779794887945405	-0.0019500670372545612	-0.001814745194689072	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	full_amplicon_longest_stem	0.0012662130249690873	0.0011877687831733015	0.0013421130555367766	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	gc_deviation_from_0p5	-2.3958265566860176e-05	-5.1570407364593016e-05	2.55869452140342e-05	14	11	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	left_boundary_vs_left_adapter_complement_4mers	-0.00040458186939830177	-0.0004970640970173893	-0.0003079362368278833	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	left_boundary_vs_left_adapter_max_rc_tract	-0.0009626481199240258	-0.0010023560473615828	-0.0008238026606352143	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	left_boundary_vs_right_adapter_complement_4mers	0.00013446671944984453	7.762538974691118e-05	0.00018899723484843242	1	24	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	left_boundary_vs_right_adapter_max_rc_tract	-3.950855836689174e-05	-9.86703723240516e-05	3.0500230562238863e-06	18	7	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	max_homopolymer	-5.0698079762016167e-05	-7.426019992214103e-05	-3.3724366184831485e-05	24	1	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	right_boundary_vs_left_adapter_complement_4mers	-6.324730240202768e-05	-8.902427370833609e-05	-4.387584387896583e-06	21	4	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	right_boundary_vs_left_adapter_max_rc_tract	0.00028778230983998623	0.00025110379190968363	0.0003137329084997891	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	right_boundary_vs_right_adapter_complement_4mers	-0.0002278448514682771	-0.00025456973233772796	-0.00018164658583594634	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	right_boundary_vs_right_adapter_max_rc_tract	-0.000537260934743736	-0.0005907927617254354	-0.0004835566311597735	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	variable_candidate_pairs	0.001978947800341326	0.0011852841552131258	0.002407973380644636	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	variable_longest_stem	-6.2215516777924855e-06	-5.325291526086897e-05	7.982546989864277e-05	14	11	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P4_full_structural_context	variable_weighted_pairs	-0.0004746507876036602	-0.0009504911445953868	0.0003501349932804177	15	10	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	base_freq_A	-0.00022159563383406569	-0.00023584959117301755	-0.00020608363493512447	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	base_freq_C	0.00043350370488038205	0.00040922640807499177	0.0004430297793807695	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	base_freq_G	0.0002100436451527458	0.00019484598198915497	0.00023156772446203776	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	base_freq_T	-0.0004182781743960689	-0.0004436141841707095	-0.00039854376611987545	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	full_amplicon_candidate_pairs	0.013009316069527868	0.012496401653797786	0.013656162470433796	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	full_amplicon_longest_stem	0.008656821063681059	0.008354416931377163	0.008860584386094182	0	25	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	full_amplicon_weighted_pairs	-0.01974839497594223	-0.02040941531170496	-0.01892872926352948	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	gc_deviation_from_0p5	-3.112591152335417e-05	-5.986778278470302e-05	9.37086942911415e-06	16	9	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	left_boundary_vs_left_adapter_complement_4mers	-0.0006467074141153264	-0.0007447791670139261	-0.0005865976775107858	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	left_boundary_vs_left_adapter_max_rc_tract	-0.0008119025526995616	-0.0008401022500396399	-0.0007029127099675224	25	0	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	left_boundary_vs_right_adapter_complement_4mers	-0.00010549078172749867	-0.00015362224459328208	-2.5410178142923304e-05	22	3	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	left_boundary_vs_right_adapter_max_rc_tract	0.00012153598917323785	3.5519519065373925e-05	0.00015336795800499785	2	23	25	association direction within fitted model; not causal effect
Gimpel2025_PCR	selection_continuous_oof	GCall	relative_efficiency	P5_combined_context	max_homopolymer	-8.914309724212274e-06	-3.0407834809797457e-05	9.161870589640433e-06	16	9	25	association direction within fitted model; not causal effect
