dataset	direction	selector_bits	feature	negative_fibers	nonnegative_fibers	negative_fiber_selected_feature_mean	nonnegative_fiber_selected_feature_mean	standardized_mean_difference_negative_minus_nonnegative	analysis_role
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	full_amplicon_candidate_pairs	46	18	114.93478260869566	111.27777777777777	0.3006299033747116	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	full_amplicon_weighted_pairs	46	18	702.4565217391304	653.0555555555555	0.6434111353763703	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	full_amplicon_longest_stem	46	18	14.108695652173912	13.5	1.0469753175376686	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	left_boundary_vs_left_adapter_max_rc_tract	46	18	3.369565217391304	3.0555555555555554	0.624766196169434	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	left_boundary_vs_left_adapter_complement_4mers	46	18	0.5217391304347826	0.1111111111111111	0.560672385962209	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	left_boundary_vs_right_adapter_max_rc_tract	46	18	4.1521739130434785	4.166666666666667	-0.018407064728377096	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	left_boundary_vs_right_adapter_complement_4mers	46	18	1.565217391304348	1.5555555555555556	0.007942465131275927	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	right_boundary_vs_left_adapter_max_rc_tract	46	18	3.739130434782609	3.9444444444444446	-0.27013941567179567	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	right_boundary_vs_left_adapter_complement_4mers	46	18	1.0869565217391304	1.7222222222222223	-0.4785354603873963	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	right_boundary_vs_right_adapter_max_rc_tract	46	18	3.5652173913043477	3.3333333333333335	0.4389237880482341	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCall_to_external_Q5	4	right_boundary_vs_right_adapter_complement_4mers	46	18	0.7391304347826086	0.5	0.2927454945924392	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	gc_deviation_from_0p5	122	134	0.022237401335758033	0.021973466003312833	0.018692538284682328	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	max_homopolymer	122	134	3.0	2.9925373134328357	0.11938194181083074	post hoc exploratory selected-sequence feature stratification
